Message Name | Registration Method | Args | Origin
`DIRECTOR_CAPTION` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | directormode.lua
`DRESS_ROOM_SET` | `RegisterMsg` | `(frame,msg,thema,argNum)` | dress_room.lua
`DRESS_ROOM_COLLECTION_ADD` | `RegisterMsg` | `(frame,msg,thema,argNum)` | dress_room.lua
`UPDATE_ITEM_REPAIR` | `RegisterOpenOnlyMsg`<br>`RegisterMsg` | `(frame, notOpenFrame)`<br>`(frame, msg, argStr, argNum)` | durnotify.lua<br>inventory.lua<br>repair.lua<br>repair140731.lua
`ITEM_PROP_UPDATE` | `RegisterOpenOnlyMsg` | `(frame, notOpenFrame)` | durnotify.lua
`EQUIP_ITEM_LIST_GET` | `RegisterOpenOnlyMsg`<br>`RegisterMsg` | `(frame, notOpenFrame)`<br>`(frame, msg, arg_str, arg_num)`<br>`(frame)` | durnotify.lua<br>goddess_equip_manager.lua<br>inventory.lua<br>quickslotnexpbar.lua<br>rankreset.lua<br>rankrollback.lua
`MYPC_CHANGE_SHAPE` | `RegisterOpenOnlyMsg`<br>`RegisterMsg` | `(frame, notOpenFrame)`<br>`(frame, msg, argStr, argNum)`<br>`(frame)` | durnotify.lua<br>headsupdisplay.lua<br>inventory.lua<br>status.lua
`EARTH_TOWER_POPUP` | `RegisterMsg` | `(frame, msg, mgameValue, isLeader)` | earthtowerpopup.lua
`EARTHTOWERSHOP_BUY_ITEM` | `RegisterMsg` | `(frame, msg, itemName, itemCount)` | earthtowershop.lua
`EARTHTOWERSHOP_BUY_ITEM_RESULT` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | earthtowershop.lua
`EARTHTOWERSHOP_REMAIN_TIME` | `RegisterMsg` | `(frame, msg, argStr, remaintime)` | earthtowershop.lua
`EARTHTOWERSHOP_CLOSE_SHOP_TYPE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | earthtowershop.lua
`DO_OPEN_EDITMSGBOX_UI` | `RegisterMsg` | `(clmsg, yesScp, noScp)` | editmsgbox.lua
`UPDATE_SPEND_ITEM` | `RegisterMsg` | `(frame)` | enchantarmoropen.lua<br>itemdungeon.lua
`EVENT_GAMBLE_START` | `RegisterMsg` | `(frame,msg,argStr,argNum)` | eventgamble.lua
`EVENT_TXT` | `RegisterMsg` | `(frame, msg, str, num)` | eventtimer.lua
`FIELD_DUNGEON_START_TIMER` | `RegisterMsg` | `()` | eventtimer.lua
`EVENT_FLEX_BOX_STATE_INIT` | `RegisterMsg` | `(frame, msg, argStr, type)` | event_flex_box.lua
`EVENT_FLEX_BOX_REWARD_UPDATE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | event_flex_box.lua
`EVENT_FLEX_BOX_ACCRUE_REWARD_UPDATE` | `RegisterMsg` | `(frame)` | event_flex_box.lua
`EVENT_FLEX_BOX_REWARD_GET_SUCCESS` | `RegisterMsg` | `(frame, msg, argStr, isPose)` | event_flex_box.lua
`EVENT_PICTURE` | `RegisterMsg` | `(frame, msg, str, arg1, arg2)` | event_picture.lua
`EVENT_PROGRESS_CHECK_OPEN_COMMAND` | `RegisterMsg` | `(frame, msg, argStr, type)` | event_progress_check.lua
`EVENT_PROGRESS_CHECK_DAILY_PLAY_TIME_UPDATE` | `RegisterMsg` | `(frame, msg, time)` | event_progress_check.lua
`EVENT_YOUR_MASTER_OPEN` | `RegisterMsg` | `(frame, msg, argStr)` | event_progress_check.lua
`EVENT_REWARD_NOTIFY_INIT` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | event_reward_notify.lua
`EVENT_REWARD_NOTIFY_ITEM_GET` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | event_reward_notify.lua
`EVENT_STAMP_TOUR_UI_OPEN_COMMAND` | `RegisterMsg` | `()` | event_stamp_tour.lua
`EVENT_STAMP_TOUR_REWARD_GET` | `RegisterMsg` | `(frame, msg, argstr, argnum)`<br>`()` | event_stamp_tour.lua<br>event_stamp_tour_summer.lua
`EVENT_STAMP_TOUR_SUMMER_UI_OPEN_COMMAND` | `RegisterMsg` | `(_,msg,argStr,argNum)` | event_stamp_tour_summer.lua
`EVENT_TP_SHOP_1912_GACHA` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | event_tp_shop_icon.lua
`EXCHANGE_START` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | exchange.lua
`EXCHANGE_UPDATE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | exchange.lua
`EXCHANGE_CANCEL` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | exchange.lua
`EXCHANGE_SUCCESS` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | exchange.lua
`EXCHANGE_AGREE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | exchange.lua
`EXCHANGE_FINALAGREE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | exchange.lua
`EXCHANGE_REQUEST` | `RegisterMsg` | `(frame)` | exchange.lua
`MSG_EXCHANGE_ANTIQUE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | exchangeantique.lua
`MSG_CLEAR_EXCHANGE_ANTIQUE` | `RegisterMsg` | `()` | exchangeantique.lua
`MSG_CLEAR_EXCHANGE_EWEAPONTYPE` | `RegisterMsg` | `()` | exchangeweapontype.lua<br>extract_luciferi_property.lua
`EXPIREDITEM_ALERT_OPEN` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | expireditem_alert.lua
`MAXFEVERTIME` | `RegisterMsg` | `(time)` | fevorcombo.lua
`RAISE_FIELD_EVENT` | `RegisterMsg` | `(frame, msg, type, remainSec)` | fieldevent.lua
`FIELD_EVENT_PC_LIST` | `RegisterMsg` | `(frame)` | fieldevent.lua
`FIELDEVENT_START` | `RegisterMsg` | `(frame)` | fieldevent.lua
`FIELDEVENT_OUT` | `RegisterMsg` | `(frame)` | fieldevent.lua
`FIELDEVENT_DESTROYED` | `RegisterMsg` | `(frame)` | fieldevent.lua
`FISHING_ITEM_LIST` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | fishing_item_bag.lua
`FISHING_EXPAND_SLOT` | `RegisterMsg` | `(frame)` | fishing_item_bag.lua
`FISHING_SUCCESS_COUNT` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | fishing_item_bag.lua
`FISHING_RANK_PAGE` | `RegisterMsg` | `(frame, msg, rankType, page)` | fishing_rank.lua
`FISH_RUBBING_PAPER_FISH` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | fish_rubbing_paper.lua
`LAYER_PC_LIST_UPDATE` | `RegisterOpenOnlyMsg`<br>`RegisterMsg` | `(frame)` | flaggame.lua<br>layerscore.lua<br>t_pvp_score.lua<br>worldpvp_score.lua
`MGAME_SOBJ_UPDATE` | `RegisterOpenOnlyMsg` | `(frame, msg, cid)` | flaggame.lua
`FLUTING_KEYBOARD_OPEN` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | fluting_keyboard.lua
`FLUTING_KEYBOARD_CLOSE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | fluting_keyboard.lua
`OPEN_FOOD_TABLE_UI` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | foodtable_ui.lua
`FOOD_ADD_SUCCESS` | `RegisterMsg` | `()` | foodtable_ui.lua
`FOODTABLE_HISTORY_UI` | `RegisterMsg` | `(frame, msg, handle)` | foodtable_ui.lua
`FPS_UPDATE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | fps.lua
`SERVER_FPS` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | fps.lua
`RTT_UPDATE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | fps.lua
`FRIEND_SESSION_CHANGE` | `RegisterOpenOnlyMsg` | `(frame, msg, aid, listType)`<br>`(frame)` | friend.lua<br>sagegofriend.lua
`RELATED_SESSION_COUNT` | `RegisterOpenOnlyMsg` | `(frame, msg, argStr, argNum)` | friend.lua
`TREE_NODE_RCLICK` | `RegisterOpenOnlyMsg` | `(frame, msg, clickedGroupName, argNum)` | friend.lua
`FRIEND_NAME_CHANGED` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | friend.lua
`GAME_START_3SEC` | `RegisterMsg` | `(frame)` | friend.lua<br>guildinfo.lua
`CLOSE_GACHA_CUBE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | gacha_cube.lua
`CLOSE_GACHA_CUBE_LEGEND` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | gacha_cube_legend.lua
`GAMEEXIT_TIMER_START` | `RegisterMsg` | `(frame, msg, reason, time)` | gameexitpopup.lua
`GAMEEXIT_TIMER_UPDATE` | `RegisterMsg` | `(frame, msg, reason, time)` | gameexitpopup.lua
`GAMEEXIT_TIMER_END` | `RegisterMsg` | `(frame)` | gameexitpopup.lua
`OPEN_GAUGE_BOSS_PATTERN` | `RegisterMsg` | `(frame)` | gauge_boss_pattern.lua
`CLOSE_GAUGE_BOSS_PATTERN` | `RegisterMsg` | `(frame)` | gauge_boss_pattern.lua
`OPEN_GAUGE_BOSS_PATTERN_BUFF` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | gauge_boss_pattern.lua
`CLOSE_GAUGE_BOSS_PATTERN_BUFF` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | gauge_boss_pattern.lua
`MSG_CLEAR_GODDESS_CARD_COPY` | `RegisterMsg` | `()` | goddesscardcopy.lua
`GODDESSCARD_SLOT_SET` | `RegisterMsg` | `(frame,msg,itemClassName,argNum)` | goddesscardslot.lua
`GODDESSCARD_SLOT_REMOVE` | `RegisterMsg` | `(frame,msg)` | goddesscardslot.lua
`OPEN_DLG_GODDESS_EQUIP_MANAGER` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua
`MSG_SUCCESS_GODDESS_REINFORCE_EXEC` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua
`MSG_FAILED_GODDESS_REINFORCE_EXEC` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua
`MSG_SUCCESS_GODDESS_ENCHANT_EXEC` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua
`MSG_FAILED_GODDESS_ENCHANT_EXEC` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua
`MSG_SUCCESS_GODDESS_TRANSCEND_EXEC` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua
`MSG_FAILED_GODDESS_TRANSCEND_EXEC` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua
`MSG_SUCCESS_GODDESS_EVOLUTION_EXEC` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua
`MSG_SUCCESS_ICOR_PRESET_CHANGE_NAME` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua
`MSG_SUCCESS_ICOR_PRESET_ENGRAVE` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua
`MSG_FAILED_ICOR_PRESET_ENGRAVE` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua
`MSG_SUCCESS_ICOR_PRESET_ENGRAVE_APPLY` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua
`MSG_SUCCESS_ICOR_PRESET_ENGRAVE_ICOR` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua
`MSG_GODDESS_SOCKET_UPDATE` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua
`MSG_SUCCESS_GODDESS_MAKE_EFFECT` | `RegisterMsg` | `(frame, msg, item_name, recipe_id)` | goddess_equip_manager.lua
`MSG_SUCCESS_GODDESS_MAKE_EXEC` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua
`MSG_FAILED_GODDESS_MAKE_EXEC` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua
`MSG_SUCCESS_GODDESS_INHERIT_EXEC` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua
`MSG_SUCCESS_GODDESS_CONVERT_EXEC` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua
`ON_UI_TUTORIAL_NEXT_STEP` | `RegisterMsg` | `(frame, msg, arg_str, arg_num)` | goddess_equip_manager.lua<br>itemsandraoneline_revert_random.lua<br>itemsandrarevertrandom.lua<br>itemunrevertrandom.lua<br>item_cabinet.lua
`GODDESS_ROULETTE_START` | `RegisterMsg` | `(frame, msg, argStr)` | goddess_roulette.lua
`GODDESS_ROULETTE_STATE_UPDATE` | `RegisterMsg` | `(frame, msg, argStr)` | goddess_roulette.lua
`GODDESS_ROULETTE_ITEM_UPDATE` | `RegisterMsg` | `(frame, msg, argStr)` | goddess_roulette.lua
`FIELD_BOSS_WORLD_EVENT_START` | `RegisterMsg` | `(frame)` | godprotection.lua<br>minimized_godprotection_button.lua
`FIELD_BOSS_WORLD_EVENT_END` | `RegisterMsg` | `(frame)` | godprotection.lua<br>minimized_godprotection_button.lua
`FIELD_BOSS_WORLD_EVENT_ITEM_GET` | `RegisterMsg` | `(frame, msg, argStr, itemid)` | godprotection.lua
`FIELD_BOSS_WORLD_EVENT_LEGEND_ITEM_GET` | `RegisterMsg` | `(frame, msg, argStr, itemid)` | godprotection.lua
`UPDATE_GRIMOIRE_UI` | `RegisterOpenOnlyMsg` | `(frame, msg, argStr, argNum)` | Grimoire.lua
`DO_OPEN_GRIMOIRE_UI` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | Grimoire.lua
`SORCERER_OBEY_BUFF` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | Grimoire.lua
`GD_RANK` | `RegisterMsg` | `(frame, msg, argStr, gp)` | guardgauge.lua
`PVP_TIME_TABLE` | `RegisterMsg` | `()` | guildbattle_league.lua<br>worldpvp.lua
`PVP_HISTORY_UPDATE` | `RegisterMsg` | `()` | guildbattle_league.lua<br>worldpvp.lua
`PREV_GUILD_RANK_INFO` | `RegisterMsg` | `(frame)` | guildbattle_ranking.lua
`ALL_SEASON_TOP_RANK_INFO` | `RegisterMsg` | `(frame)` | guildbattle_ranking.lua
`ENABLE_CREATE_GUILD_NAME` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | guildcreate.lua
`GUILD_EVENT_RECRUITING_START` | `RegisterMsg` | `(frame, msg, argstr, argnum)` | guildeventpopup.lua
`GUILD_EVENT_RECRUITING_END` | `RegisterMsg` | `(frame, msg, argstr, argnum)` | guildeventpopup.lua
`GUILD_EVENT_RECRUITING_LIST` | `RegisterMsg` | `(frame, msg, argstr, argnum)` | guildeventpopup.lua
`GUILD_EVENT_RECRUITING_ADD` | `RegisterMsg` | `(frame, msg, argstr, argnum)` | guildeventpopup.lua
`GUILD_EVENT_RECRUITING_REMOVE` | `RegisterMsg` | `(frame, msg, argstr, argnum)` | guildeventpopup.lua
`GUILD_EVENT_RECRUITING_IN` | `RegisterMsg` | `(frame, msg, argstr, argnum)` | guildeventpopup.lua
`GUILD_EVENT_RECRUITING_OUT` | `RegisterMsg` | `(frame, msg, argstr, argnum)` | guildeventpopup.lua
`GUILD_EVENT_WAITING_LOCATION` | `RegisterMsg` | `(frame, msg, argstr, argnum)` | guildeventpopup.lua
`GUILD_EVENT_START_REQUEST_MSG_BOX` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | guildEventSelect.lua
`OPEN_DLG_GUILDGROWTH` | `RegisterMsg` | `(frame)` | guildgrowth.lua
`GUILD_PROPERTY_UPDATE` | `RegisterOpenOnlyMsg`<br>`RegisterMsg` | `(frame)`<br>`(frame, msg, argStr, argNum)` | guildgrowth.lua<br>guildinfo.lua
`GUILD_SKILL_UPDATE` | `RegisterOpenOnlyMsg` | `()` | guildgrowth.lua
`GUILD_MEMBER_PROP_UPDATE` | `RegisterOpenOnlyMsg`<br>`RegisterMsg` | `(frame)` | guildgrowth.lua<br>guildinfo.lua<br>guild_mileage_change.lua
`GUILD_AGIT_INFO_RECEIVE` | `RegisterMsg` | `(frame)` | guildgrowth.lua
`GUILD_NEUTRALITY_UPDATE` | `RegisterMsg` | `()` | guildinfo.lua
`GUILD_UPDATE_PROFILE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | guildinfo.lua
`UPDATE_GUILD_ONE_SAY` | `RegisterMsg` | `()` | guildinfo.lua
`UPDATE_GUILD_ASSET` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | guildinfo.lua
`GUILD_NEUTRALITY_ALARM_FAIL` | `RegisterMsg` | `()` | guildinfo.lua
`GUILD_WAREHOUSE_ITEM_ADD` | `RegisterMsg` | `()` | guildinfo.lua
`GUILD_WAREHOUSE_ITEM_LIST` | `RegisterMsg` | `()` | guildinfo.lua
`GUILD_ASSET_LOG_UPDATE` | `RegisterMsg` | `()` | guildinfo.lua
`GUILD_INFO_UPDATE` | `RegisterMsg`<br>`RegisterOpenOnlyMsg` | `(frame, msg, argStr, argNum)`<br>`()`<br>`(frame, msg, a, b, c)` | guildinfo.lua<br>map.lua<br>minimap.lua
`GUILD_MEMBER_INFO_UPDATE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | guildinfo.lua
`GUILD_ENTER` | `RegisterMsg` | `(frame, msg, argStr, argNum)`<br>`(frame)` | guildinfo.lua<br>sysmenu.lua
`GUILD_OUT` | `RegisterMsg` | `(frame)` | guildinfo.lua
`MYPC_GUILD_JOIN` | `RegisterMsg` | `(frame)` | guildinfo.lua
`GUILD_EMBLEM_UPDATE` | `RegisterMsg` | `(frame,  msg, argStr, argNum)` | guildinfo.lua
`COLONY_ENTER_CONFIG_FAIL` | `RegisterMsg` | `()` | guildinfo.lua
`GUILD_MASTER_REQUEST` | `RegisterMsg` | `(frame, msg, argStr)` | guildinfo.lua
`GUILD_JOINT_INV_ITEM_LIST` | `RegisterMsg` | `()` | guildinfo.lua
`UPDATE_GUILD_MILEAGE` | `RegisterMsg` | `()` | guildinfo.lua<br>propertyshop.lua
`TOGGLEON_GUILD_NEUTRALITY` | `RegisterMsg` | `()` | guildinfo.lua
`RECEIVE_GUILD_AGIT_INFO` | `RegisterMsg` | `()` | guildinfo.lua
`START_GUILD_HOUSING_SHOP` | `RegisterMsg` | `()` | guildinfo.lua<br>housing_shop.lua
`RECEIVE_OTHER_GUILD_AGIT_INFO` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | guildinfo_detail.lua
`SERVER_GUILD_OUT_DATE_CHECK` | `RegisterMsg` | `()` | guildinfo_detail.lua
`CLEAR_ACCEPT_GUILDSKILL_MSGBOX` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | guildmembergo.lua
`CALLBACK_DISTRIBUTE_CONTRIBUTION` | `RegisterMsg` | `(frame)` | guild_distribute_contribution.lua
`REFRESH_DISTRIBUTE_CONTRIBUTION` | `RegisterMsg` | `(frame)` | guild_distribute_contribution.lua
`UPDATE_GUILD_VEHICLE` | `RegisterMsg` | `(frame, msg, strarg, numarg)` | guild_vehicle.lua
`HAIR_GACHA_POPUP` | `RegisterMsg` | `(frame, msg, itemname, itemcnt)` | hair_gacha_popup.lua
`HAIR_GACHA_POPUP_10` | `RegisterMsg` | `(frame, msg, itemname, itemcnt)` | hair_gacha_popup.lua
`RBOX_GACHA_POPUP` | `RegisterMsg` | `(frame, msg, itemname, itemcnt)` | hair_gacha_popup.lua
`RBOX_GACHA_POPUP_10` | `RegisterMsg` | `(frame, msg, itemname, itemcnt)` | hair_gacha_popup.lua
`LETICIA_POPUP` | `RegisterMsg` | `(frame, msg, itemname, itemcnt)` | hair_gacha_popup.lua
`LETICIA_POPUP_10` | `RegisterMsg` | `(frame, msg, itemname, itemcnt)` | hair_gacha_popup.lua
`OPEN_COUNT_REWARD_SET` | `RegisterMsg` | `(frame, msg, retStr)` | hair_gacha_popup.lua
`FAME_RANK_UPDATED` | `RegisterMsg` | `(frame)` | halloffame.lua
`RANK_UI` | `RegisterMsg` | `(frame, msg, showallCategory, num)` | halloffame.lua
`STANCE_CHANGE` | `RegisterOpenOnlyMsg` | `(frame, msg, argStr, argNum)` | headsupdisplay.lua
`NAME_UPDATE` | `RegisterOpenOnlyMsg` | `(frame, msg, argStr, argNum)` | headsupdisplay.lua
`STAT_UPDATE` | `RegisterOpenOnlyMsg`<br>`RegisterMsg` | `(frame, msg, argStr, argNum)`<br>`(frame)` | headsupdisplay.lua<br>status.lua
`TAKE_DAMAGE` | `RegisterOpenOnlyMsg` | `(frame, msg, argStr, argNum)` | headsupdisplay.lua
`TAKE_HEAL` | `RegisterOpenOnlyMsg` | `(frame, msg, argStr, argNum)` | headsupdisplay.lua
`STA_UPDATE` | `RegisterOpenOnlyMsg` | `(frame, msg, argStr, argNum)` | headsupdisplay.lua
`PC_PROPERTY_UPDATE` | `RegisterOpenOnlyMsg` | `(frame, msg, argStr, argNum)` | headsupdisplay.lua<br>skillability.lua
`CANT_RUN_STA` | `RegisterOpenOnlyMsg` | `(frame, msg, argStr, argNum)` | headsupdisplay.lua
`CANT_JUMP_STA` | `RegisterOpenOnlyMsg` | `(frame, msg, argStr, argNum)` | headsupdisplay.lua
`CAUTION_DAMAGE_INFO` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | headsupdisplay.lua
`CAUTION_DAMAGE_INFO_RELEASE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | headsupdisplay.lua
`CHANGE_RESOLUTION` | `RegisterMsg` | `(frame, msg, argStr, argNum)`<br>`(monsterCardSlotFrame)` | headsupdisplay.lua<br>monstercardslot.lua<br>necronomicon_hud.lua<br>poisonpot_hud.lua
`CAMP_UPDATE` | `RegisterMsg` | `(frame)` | headsupdisplay.lua
`PARTY_UPDATE` | `RegisterMsg`<br>`RegisterOpenOnlyMsg` | `(frame)`<br>`(frame, msg, a, b, c)`<br>`(frame, msg, str, num)` | headsupdisplay.lua<br>map.lua<br>minimap.lua<br>party.lua<br>partyinfo.lua<br>quest.lua
`SHOW_SOUL_CRISTAL` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | headsupdisplay.lua
`UPDATE_SOUL_CRISTAL` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | headsupdisplay.lua
`UPDATE_REPRESENTATION_CLASS_ICON` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | headsupdisplay.lua<br>status.lua
`UPDATE_RELIC_EQUIP` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | headsupdisplay.lua<br>relicmanager.lua
`RP_UPDATE` | `RegisterMsg` | `(frame)` | headsupdisplay.lua
`HELP_MSG_ADD_DBSAVE_NO` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | helpmsgbox.lua<br>piphelp.lua
`HIDDENABILITY_DECOMPOSE_RESULT` | `RegisterMsg` | `(frame, msg, resultstr)` | hiddenability_decompose.lua
`HIDDENABILITY_DECOMPOSE_MAKE` | `RegisterMsg` | `(frame, msg)` | hiddenability_make.lua
`UPDATE_PLAY_HISTORY` | `RegisterMsg` | `(frame, msg, strArg, numArg)` | history.lua
`OPEN_HOMUNCLUS_INFO` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | homunclus.lua
`UPDATE_HOMUNCLUS_SKILL` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | homunclus.lua
`START_HOTKEY_EMPHASIZE` | `RegisterMsg` | `(frame, msg, iconName, num)` | hotkey_emphasize.lua
`HOUSINGCRAFT_UPDATE_ENDTIME` | `RegisterMsg` | `(frame, msg, argStr)`<br>`(frame, msg)` | housing_craft.lua<br>minimized_housing_craft.lua
`SUCCESS_RECEIVE_HOUSINGCRAFT_GOODS` | `RegisterMsg` | `(frame)` | housing_craft.lua
`SUCCESS_USE_HOUSINGCRAFT_COUPON` | `RegisterMsg` | `(frame)` | housing_craft.lua
`FURNITURE_NOT_EXIST` | `RegisterMsg` | `(frame)` | housing_craft.lua
`PERSONAL_HOUSING_BUY_BACKGROUND` | `RegisterMsg` | `()` | housing_editmode.lua
`PERSONAL_HOUSING_IS_REALLY_ENTER` | `RegisterMsg` | `(frame, msg, argstr, argnum)` | housing_editmode.lua
`PERSONAL_HOUSING_IS_REALLY_ENTER_PARTY` | `RegisterMsg` | `(frame, msg, argstr, argnum)` | housing_editmode.lua
`RECEIVE_GUILD_AGIT_WEAPON` | `RegisterMsg` | `()` | housing_lab.lua
`RECEIVE_GUILD_AGIT_ARMOR` | `RegisterMsg` | `()` | housing_lab.lua
`RECEIVE_GUILD_AGIT_ATTRIBUTE` | `RegisterMsg` | `()` | housing_lab.lua
`RECEIVE_GUILD_AGIT_DUNGEON` | `RegisterMsg` | `()` | housing_lab.lua
`REFRESH_GUILD_AGIT_WEAPON` | `RegisterMsg` | `()` | housing_lab.lua
`REFRESH_GUILD_AGIT_ARMOR` | `RegisterMsg` | `()` | housing_lab.lua
`REFRESH_GUILD_AGIT_ATTRIBUTE` | `RegisterMsg` | `()` | housing_lab.lua
`REFRESH_GUILD_AGIT_DUNGEON` | `RegisterMsg` | `()` | housing_lab.lua
`HOUSING_LAB_EXTEND_OPEN` | `RegisterMsg` | `(labName)` | housing_lab_extend.lua
`RECEIVE_HOUSING_LAB_EXTEND_WEAPON` | `RegisterMsg` | `()` | housing_lab_extend.lua
`RECEIVE_HOUSING_LAB_EXTEND_ARMOR` | `RegisterMsg` | `()` | housing_lab_extend.lua
`RECEIVE_HOUSING_LAB_EXTEND_ATTRIBUTE` | `RegisterMsg` | `()` | housing_lab_extend.lua
`RECEIVE_HOUSING_LAB_EXTEND_PRODUCTION` | `RegisterMsg` | `()` | housing_lab_extend.lua
`ENTER_PERSONAL_HOUSE` | `RegisterMsg` | `(parent, msg, argStr)`<br>`(frame, msg, argStr, argNum)` | housing_promote_write.lua<br>minimized_guild_housing.lua<br>minimized_housing_craft.lua<br>minimized_personal_housing.lua
`HOUSING_PROMOTE_THUMBNAIL_CREATE_SUCCESS` | `RegisterMsg` | `(frame, msg, fullPath)` | housing_promote_write.lua
`GUILD_HOUSING_SHOP` | `RegisterMsg` | `(frame)` | housing_shop.lua
`START_HOUSING_SHOP_BUTTON_BUYSELL` | `RegisterMsg` | `()` | housing_shop.lua
`PERSONAL_HOUSING_SHOP` | `RegisterMsg` | `(frame)` | housing_shop.lua<br>housing_shop_payment.lua
`OPEN_DLG_ICORADD_MULTIPLE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | icoradd_multiple.lua
`MSG_SUCCESS_ICOR_ADD_MULTIPLE` | `RegisterMsg` | `(frame)` | icoradd_multiple.lua
`OPEN_DLG_ICORRELEASE_MULTIPLE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | icorrelease_multiple.lua
`MSG_SUCCESS_ICOR_RELEASE_MULTIPLE` | `RegisterMsg` | `(frame)` | icorrelease_multiple.lua
`OPEN_DLG_ICORRELEASE_RANDOM_MULTIPLE` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | icorrelease_random_multiple.lua
`MSG_SUCCESS_ICOR_RELEASE_RANDOM_MULTIPLE` | `RegisterMsg` | `(frame)` | icorrelease_random_multiple.lua
`MOVE_ZONE` | `RegisterMsg` | `(frame, msg, argStr, argNum)`<br>`()` | indunenter.lua<br>mic.lua
`CLOSE_UI` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | indunenter.lua
`UPDATE_MYTHIC_DUNGEON_PATTERN` | `RegisterMsg` | `(frame,msg,argStr,argNum)` | indunenter.lua
`CHAT_INDUN_UI_OPEN` | `RegisterMsg` | `(frame, msg, argStr, argNum)` | induninfo.lua
